language,symbol,text
"Sindhi","sd","پنهنجي ملڪيت وڪيو ، غريب کي پئسا ڏيو ، مسيح جي پيروي ڪريو."
"Samoan","sm","Faʻatau atu au mea totino, avatu tupe ie matitiva, mulimuli ia Keriso!"
"Myanmar","my","သင်၏ပစ္စည်းများကိုရောင်း။ ဆင်းရဲသောသူတို့အားပေးဆပ်ပါ၊ ခရစ်တော်နောက်သို့လိုက်ပါ။"
"Malagasy","mg","Amidio ny fanananao, omeo vola ny mahantra, manaraha an'i Kristy!"
"Lao","lo","ຂາຍຊັບສິນຂອງທ່ານ, ໃຫ້ເງິນແກ່ຄົນທຸກຍາກ, ຕິດຕາມພຣະຄຣິສ!"
"Kazakh","kk","Мүлкіңді сат, кедейлерге ақша бер, Мәсіхтің соңынан ер!"
"Igbo","ig","Ree ihe onwunwe gị, nye ego nye ndị ogbenye, soro Kraịst!"
"Hindi","hi","अपनी संपत्ति बेचो, गरीबों को पैसा दो, मसीह का पालन करो!"
"Gujarati","gu","તમારી સંપત્તિ વેચો, ગરીબોને પૈસા આપો, ખ્રિસ્તને અનુસરો!"
"Georgian","ka","გაყიდეთ თქვენი ქონება, მიეცით ფული ღარიბებს, გაჰყევით ქრისტეს!"
"Hawaiian","haw","E kūʻai aku i kāu waiwai, hāʻawi kālā i ka poʻe hune, e hāhai iā Kristo!"
"Icelandic","is","Seldu eign þína, gefðu fátækum peninga, fylgdu Kristi!"
"Kannada","kn","ನಿಮ್ಮ ಆಸ್ತಿಯನ್ನು ಮಾರಾಟ ಮಾಡಿ, ಬಡವರಿಗೆ ಹಣವನ್ನು ನೀಡಿ, ಕ್ರಿಸ್ತನನ್ನು ಅನುಸರಿಸಿ!"
"Kyrgyz","ky","Мүлкүңдү сат, жакырларга акча бер, Машаяктын жолун жолдо!"
"Macedonian","mk","Продадете го вашиот имот, дајте пари на сиромашните, следете го Христа!"
"Mongolian","mn","Эд хөрөнгөө зарж, ядууст мөнгө өгч, Христийг дага!"
"Persian","fa","دارایی خود را بفروشید ، به فقیران پول دهید ، مسیح را دنبال کنید!"
"Shona","sn","Tengesa zvinhu zvako, upe varombo mari, utevere Kristu!"
"Sundanese","su","Jual harta milik anjeun, pasihkeun artos ka jalma miskin, turutan Al Masih!"
"Xhosa","xh","Thengisa impahla yakho, unike imali amahlwempu, landela uKristu!"
"Zulu","zu","Thengisa impahla yakho, unikeze abampofu imali, landela uKristu!"
"Welsh","cy","Gwerthu'ch eiddo, rhoi arian i'r tlodion, dilyn Crist!"
"Somali","so","Iibi hantidaada, lacag sii masaakiinta, raac Masiixa!"
"Sesotho","st","Rekisa thepa ea hau, fana ka chelete ho mafutsana, latela Kreste!"
"Pashto","ps","خپل ملکیت وپلورئ ، بېوزلو ته پیسې ورکړئ ، د مسیح پیروي وکړئ!"
"Maori","mi","Hokona o rawa, hoatu o moni ki te hunga rawakore, whai i a te Karaiti!"
"Luxembourgish","lb","Verkaaft Äert Verméigen, gitt Sue fir déi Aarm, follegt dem Christus!"
"Kurdish","ku","Milkê xwe bifroşin, drav bidin belengazan, bidin dû Mesîh!"
"Javanese","jw","Adol properti sampeyan, wenehake dhuwit kanggo wong mlarat, tindakake Kristus!"
"Hausa","ha","Sayar da dukiyarka, ba da kuɗi ga matalauta, bi Kristi!"
"Hungarian","hu","Adja el ingatlanját, adjon pénzt a szegényeknek, kövesse Krisztust!"
"Galician","gl","Vende a túa propiedade, dá cartos aos pobres, segue a Cristo!"
